,"""--""",L,D,"""+""","""-""",.,"""*""","""/""","""=""",""">""","""<""","""!""",""":""","""{""","""}""","""(""",""")""","""[""","""]""",#, '
1,2,29,5,4,8,0,14,15,21,16,11,18,20,23,24,25,26,27,28,30,0
2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,1,1,5,9,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,0
5,1,1,5,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
7,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
8,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
11,1,1,1,1,1,1,1,1,1,12,13,1,1,1,1,1,1,1,1,1,0
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,0
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
18,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,0
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,0
21,1,1,1,1,1,1,1,1,22,1,1,1,1,1,1,1,1,1,1,1,0
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29,1,29,1,1,1,1,1,1,1,16,11,1,1,1,1,1,1,1,1,1,0
30,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
31,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,
